postcode,ward_name,,,,,,,,,,,,,
KT1 1DZ,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 2QE,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AA,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AB,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AD,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AE,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AF,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AG,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AH,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AL,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AN,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AP,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AR,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AS,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AT,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AU,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AW,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AX,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AY,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4AZ,Teddington,,,,,,,,,,,,,
KT1 4BA,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4BB,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4BD,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4BE,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4BG,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4BH,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4BJ,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4BL,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4BN,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4BP,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4BQ,Hampton Wick & South Teddington,,,,,,,,,,,,,
KT1 4BS,Hampton Wick & South Teddington,,,,,,,,,,,,,
